"type","city","street","cost","area"
"3er WG","München Moosach","Ehrenbreitsteiner Straße","520","10"
"2er WG","München Maxvorstadt","Nymphenburgerstr","490","16"
"2er WG","München a","a","250","15"
"3er WG","München CityNheTheresienwiese","Implerstrasse","600","14"
"4er WG","München Neuhausen-Nymphenburg","Kelheimer Straße 3","640","10"
"2er WG","München München","Freseniusstraße, 43","600","16"
"2er WG","München Neuhausen-Nymphenburg","Schlörstraße","390","18"
"4er WG","München Maxvorstadt","Theresienstr. 15","700","16"
"2er WG","München Schwabing-West","Hildeboldstr. Ecke Schlei...","700","14"
"3er WG","München Bogenhausen","Bülowstraße","640","25"
"2er WG","München Neuhausen-Nymphenburg","Landshuter Allee 168","600","10"
"4er WG","München Maxvorstadt","Schellingstr. 52","728","13"
"4er WG","München Maxvorstadt","Schellingstr. 52","728","13"
"3er WG","München Laim","Zschokkestraße","580","14"
"3er WG","München Au-Haidhausen","Kirchenstr.","795","20"
"4er WG","München Sendling","Karwendelstr 40","895","30"
"5er WG","München Ramersdorf-Perlach","Fritz-Erler-Str. 32","745","14"
"5er WG","München Ramersdorf-Perlach","Fritz-Erler-Str. 32","745","14"
"3er WG","München Hadern","Terofalstr. 8","730","17"
"2er WG","München Moosach","Berta-Hummel-Str. 6","1070","16"
"5er WG","München Neuried","Grundstr.","750","27"
"4er WG","München Pasing-Obermenzing","Landsberger Str. 478","770","18"
"3er WG","München Moosach","Zügelstraße","300","14"
"3er WG","München Schwabing-West","Ansprengerstrasse 25","652","18"
"3er WG","München Neuhausen-Nymphenburg","Gudrunstr. 22","850","50"
"4er WG","München top WG zimmer","Am","400","15"
"2er WG","München Bogenhausen","Lamontstraße 13","404","14"
"4er WG","München Schwabing-West","Centa-Herker-Bogen","680","15"
"3er WG","München Bogenhausen","Schumannstraße 11","354","16"
"3er WG","München Grosshadern","Ginsterweg 6a","950","25"
"3er WG","München Maxvorstadt","Blütenstraße 14","550","14"
"3er WG","München Bogenhausen","Amberger Straße 20","360","18"
"3er WG","München Hadern","Guardinistraße","550","15"
