"type","city","street","cost","area"
"2er WG","Berlin Prenzlauer Berg","Landsberger Allee","400","12"
"1-Zimmer-Wohnung","Berlin Charlottenburg","Lietzenburger Straße 89","600","26"
"6er WG","Berlin Friedrichshain","Petersburgerstr. 29","310","24"
"2er WG","Berlin Moabit","Beusselstrasse 63","380","20"
"2er WG","Berlin Friedrichshain","Gubener Straße 14","650","16"
"2er WG","Berlin Friedrichshain","Richard-Sorge-Str. 10","685","16"
"2er WG","Berlin Wedding","Fehmarner Straße 6","700","14"
"3er WG","Berlin Friedrichshain","Marchlewskistraße 51","700","16"
"5er WG","Berlin Spandau","Bolteweg","300","18"
"5er WG","Berlin Kreuzberg","Wilhelmstraße 120A","750","15"
"4er WG","Berlin Zehlendorf","Prinz Friedrich Leopold s...","600","35"
"6er WG","Berlin Spandau","Maulbeerallee","350","20"
"3er WG","Berlin Friedrichshain","Eldenaer str. 29","650","10"
"4er WG","Berlin Wilmersdorf","Uhlandstraße 142","550","11"
"3er WG","Berlin Kreuzberg","NäheBergmannstraße","520","22"
"6er WG","Berlin Charlottenburg","Kurfürstendamm 28","800","17"
"3er WG","Berlin Neukölln","Pflügerstraße 76","700","17"
"2er WG","Berlin Schöneberg","Meranerstraße 6","700","16"
"2er WG","Berlin Berlin-Weissensee","Am Steinberg","30","15"
"4er WG","Berlin Charlottenburg","Joachim-Friedrich-Straße 9","650","15"
"2er WG","Berlin Prenzlauer Berg","Straßburger Straße","887","16"
"1-Zimmer-Wohnung","Berlin Schöneberg","Großgörschenstr. 36","970","38"
"1-Zimmer-Wohnung","Berlin Schöneberg","Nollendorfstraße 34","980","34"
"2er WG","Berlin Wedding","Lynarstr. 5","800","10"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Rhinower Str. 11","980","32"
"4er WG","Berlin Charlottenburg","Joachim-Friedrich-Straße 9","550","11"
"2er WG","Berlin Reinickendorf","Schillingstraße, 45","463","18"
"17er WG","Berlin Moabit","Waldenserstr. 31","450","10"
"1-Zimmer-Wohnung","Berlin Mitte","Steinstr. 12","980","40"
"4er WG","Berlin Gesundbrunnen","Heinz-Galinski-Straße 14","800","16"
"3er WG","Berlin Friedrichshain","Marchlewskistraße 51","700","19"
"2er WG","Berlin Wedding","Buttmannstraße 11","750","21"
"3er WG","Berlin Friedrichshain","Eldenaer str. 29","700","18"
"1-Zimmer-Wohnung","Berlin Charlottenburg","Bleibtreu 51","534","34"
"3er WG","Berlin Wedding","Buttmannstraße 5","250","9"
"3er WG","Berlin Neukölln","Sieversufer","200","18"
"3er WG","Berlin Wilmersdorf","Uhlandstraße 142","700","17"
"3er WG","Berlin Friedrichshain","Gubener Straße 52A","650","16"
"2er WG","Berlin Friedrichshain","Neue Bahnhofstrasse","650","26"
"3er WG","Berlin Kreuzberg","arndtstr, 5","600","12"
"2er WG","Berlin Friedrichshain","Archibaldweg 12","650","13"
"2er WG","Berlin Friedrichshain","Neue Bahnhofstrasse","650","26"
"2er WG","Berlin Karlshorst","Trautenauer Str. 6","600","17"
"5er WG","Berlin Wilmersdorf","Uhlandstraße 142","700","16"
"2er WG","Berlin Moabit","Elberfelder Straße","400","22"
"3er WG","Berlin Friedenau","Brünnhildestraße 8","700","17"
"2er WG","Berlin Kreuzberg","Oranienstrasse, 113","750","20"
"3er WG","Berlin Zehlendorf","Flanaganstr.","450","20"
"3er WG","Berlin Kreuzberg","Oranienstraße","425","16"
"5er WG","Berlin Friedenau","Isoldestraße 1","700","17"
"4er WG","Berlin Wedding","Barfusstr. 8","434","20"
"3er WG","Berlin Lankwitz","Gernsheimer Straße","490","16"
"3er WG","Berlin Tempelhof","Ringbahnstr 42","500","20"
"2er WG","Berlin Mitte","Strelitzer Straße","500","15"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Einbecker Straße 45","1100","47"
"3er WG","Berlin Schöneberg","Erfurter Str.","550","20"
"4er WG","Berlin Neukölln","Saalestraße 35a","460","24"
"4er WG","Berlin Prenzlauer Berg","Korsörer Str.22","590","25"
"2er WG","Berlin Friedrichshain","Simon-Dach-Str. 26","22","20"
